scheme_id,rule_id,section,attribute,operator,normalized_value,evidence_text
S028,S028-E001,,residency,INFORMATION,Residential consumers and Group Housing Society can apply for the installation of a solar rooftop system.,Residential consumers and Group Housing Society can apply for the installation of a solar rooftop system.
S028,S028-E002,,special_condition,INFORMATION,"If you have electricity connection in your name and you pay regularly the electricity bill in your own name and also you have the permission of use the roof for solar rooftop installation from the owner, you can install the RTS.","If you have electricity connection in your name and you pay regularly the electricity bill in your own name and also you have the permission of use the roof for solar rooftop installation from the owner, you can install the RTS."
S029,S029-E001,,residency,INFORMATION,The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.,The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.
S029,S029-E002,,income,<=,"₹ 75,000","The annual income of the applicant should not exceed ₹ 75,000/-."
S029,S029-E003,,special_status,INFORMATION,The applicant should have a disability of 40% or above.,The applicant should have a disability of 40% or above.
S029,S029-E004,,special_condition,INFORMATION,The applicant should not have performed the tour for the past ten years.,The applicant should not have performed the tour for the past ten years.
S029,S029-E005,,special_condition,INFORMATION,The applicant should not be affected by any contagious diseases.,The applicant should not be affected by any contagious diseases.
S029,S029-E006,,special_condition,INFORMATION,The applicants may apply to this scheme only after the issue of notification in the local newspapers.,The applicants may apply to this scheme only after the issue of notification in the local newspapers.
S029,S029-E007,,age,RANGE,18-50 years,The age of the applicant should be between 18 and 50 years.
S029,S029-E008,,special_condition,INFORMATION,The applicant should not be a Government Servant.,The applicant should not be a Government Servant.
S029,S029-E009,,special_condition,INFORMATION,The parents of the applicant should not be a Government servant.,The parents of the applicant should not be a Government servant.
S029,S029-E010,,special_condition,INFORMATION,The applicant should have registered his/her name in the Anganwadi Centre.,The applicant should have registered his/her name in the Anganwadi Centre.
S030,S030-E001,,special_status,INFORMATION,"Any Orthopedic Physically handicapped person having a permanent disability of 40% & above can apply for the benefit under the scheme, irrespective of whether the applicant drives the vehicle himself or otherwise.","Any Orthopedic Physically handicapped person having a permanent disability of 40% & above can apply for the benefit under the scheme, irrespective of whether the applicant drives the vehicle himself or otherwise."
S030,S030-E002,,special_condition,INFORMATION,"Cars (automatic or manual) having a length less than or equal to 4m and engine capacity of not more than 1200 cc (petrol, Liquefied Petroleum Gases (LPG) or compressed natural gas (CNG) or 1500 cc (diesel) qualify for purchase under this scheme.","Cars (automatic or manual) having a length less than or equal to 4m and engine capacity of not more than 1200 cc (petrol, Liquefied Petroleum Gases (LPG) or compressed natural gas (CNG) or 1500 cc (diesel) qualify for purchase under this scheme."
S030,S030-E003,,special_condition,INFORMATION,The said Certificate for availing the GST concession would be valid for a period of three months from the date of issue of the certificate and the vehicle would have to be purchased by the applicant within this three-month period to avail the concession.,The said Certificate for availing the GST concession would be valid for a period of three months from the date of issue of the certificate and the vehicle would have to be purchased by the applicant within this three-month period to avail the concession.
S031,S031-E001,,education,INFORMATION,"All the educational institutes in Goa, affiliated with a recognized public university are eligible to apply for this scheme.","All the educational institutes in Goa, affiliated with a recognized public university are eligible to apply for this scheme."
S032,S032-E001,,gender,INFORMATION,The applicant should be a Private Sector/Fishermen/Fisherwomen Cooperative Societies/Fishermen /Entrepreneurs.,The applicant should be a Private Sector/Fishermen/Fisherwomen Cooperative Societies/Fishermen /Entrepreneurs.
S032,S032-E002,,special_condition,INFORMATION,The applicant should be between 18 to 50 years old.,The applicant should be between 18 to 50 years old.
S032,S032-E003,,asset_or_financial_condition,INFORMATION,The applicant should not have availed any benefit of loan/subsidy from any other source for the intended purpose.,The applicant should not have availed any benefit of loan/subsidy from any other source for the intended purpose.
S033,S033-E001,,special_condition,INFORMATION,The Applicant should be a Differently abled person.,The Applicant should be a Differently abled person.
S034,S034-E001,,gender,INFORMATION,"1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme.","1\. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme."
S034,S034-E002,,gender,INFORMATION,"2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:","2\. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:"
S034,S034-E003,,education,INFORMATION,"Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956.","Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956."
S034,S034-E004,,special_condition,INFORMATION,Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.,Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC.
S034,S034-E005,,residency,INFORMATION,Universities/Colleges/Institutes funded by Central/ State Govt.,Universities/Colleges/Institutes funded by Central/ State Govt.
S034,S034-E006,,special_condition,INFORMATION,Institutes of National Importance.,Institutes of National Importance.
S034,S034-E007,,education,INFORMATION,3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.,3\. Admission to Ph.D. Course in Distance education mode is not covered under the scheme.
